Gun,Chip,Bib,City,State,Age,Gender
5255,5244,3053,Austin,TX,37,M
5252,5247,822,Austin,TX,45,M
5681,5251,3654,Austin,TX,14,M
5257,5252,7064,Georgetown,TX,31,F
5275,5255,2159,Austin,TX,29,F
5280,5261,3553,Austin,TX,40,M
5271,5265,6509,San Antonio,TX,32,F
5266,5265,7056,Austin,TX,38,F
5271,5266,4654,San Antonio,TX,37,M
5276,5268,6981,Pflugerville,TX,42,M
5271,5268,4843,College Station,TX,19,M
5294,5270,6300,Pflugerville,TX,40,M
5361,5274,325,Leander,TX,49,M
5361,5274,7415,Georgetown,TX,40,M
5285,5276,5498,Frederick,CO,39,F
5278,5277,6136,Austin,TX,45,F
5311,5279,7751,Austin,TX,29,M
5311,5279,750,Austin,TX,30,F
5312,5280,6500,Austin,TX,45,M
5292,5282,6448,Dallas,TX,47,M
5301,5284,6886,Austin,TX,40,M
5296,5287,992,Austin,TX,32,M
5305,5289,7175,Austin,TX,25,M
5298,5291,1446,San Antonio,TX,51,M
5305,5291,6449,Dallas,TX,39,M
5297,5292,4078,Austin,TX,42,M
5304,5296,1529,Austin,TX,39,M
5299,5296,6685,Kyle,TX,32,M
5317,5302,5320,Dallas,TX,50,M
5355,5306,4780,Austin,TX,42,M
5312,5308,1367,San Antonio,TX,45,M
5315,5308,6722,Buda,TX,38,M
5323,5311,781,Bulverde,TX,46,F
5328,5316,3224,Austin,TX,34,M
5321,5316,6238,Austin,TX,47,M
5864,5316,4587,Austin,TX,39,M
5325,5319,80,Austin,TX,33,M
5335,5321,1206,Austin,TX,33,M
5333,5323,6898,San Diego,CA,36,F
5342,5324,6993,Austin,TX,18,F
5334,5327,4863,Austin,TX,26,F
5940,5335,339,Austin,TX,45,M
5355,5335,5565,San Antonio,TX,42,M
5362,5339,6464,Rio Rancho,NM,40,F
5346,5340,7194,Austin,TX,34,M
5463,5344,87,Austin,TX,35,M
5364,5345,6789,New York,NY,29,F
5359,5346,4396,Round Rock,TX,19,M
5359,5349,7105,Cedar Park,TX,53,M
5362,5350,1964,San Antonio,TX,43,M
5357,5351,280,Austin,TX,32,F
5355,5353,1552,Austin,TX,31,F
5371,5355,6475,Austin,TX,41,M
5369,5359,7251,Round Rock,TX,45,M
5369,5360,1731,New Braunfels,TX,30,F
5373,5360,1403,Austin,TX,30,M
5367,5363,2520,Austin,TX,32,M
5372,5364,3023,Austin,TX,31,M
5378,5365,7673,Cedar Park,TX,16,M
5375,5368,7294,Austin,TX,32,M
5544,5373,3789,Austin,TX,28,M
5396,5376,6007,Geowrgetown,TX,29,M
5390,5379,5996,Round Rock,TX,43,M
5385,5379,6187,Colorado Springs,CO,34,M
5382,5380,6484,Frisco,TX,43,M
5393,5381,1114,Cedar Park,TX,49,M
5396,5382,1432,Austin,TX,27,M
5387,5382,3086,Austin,TX,46,M
5384,5382,6477,Dickinson,TX,48,M
5385,5383,6221,Austin,RI,41,M
5393,5384,6713,Leander,TX,33,M
5398,5387,1674,Austin,TX,42,M
5402,5390,6698,Boerne,TX,45,F
6141,5393,1626,Dallas,TX,17,M
5404,5394,5051,Round Rock,TX,16,M
5397,5394,6182,Round Rock,TX,44,F
5406,5395,1365,Austin,TX,49,M
5410,5401,1843,Austin,TX,35,M
5409,5404,2479,Austin,TX,32,M
5410,5405,6519,Austin,TX,29,M
